第一章 他叫白小纯
第二章 火灶房
第三章 六句真言
第四章 炼灵
第五章 万一丢了小命咋办
第六章 灵气上头
第七章 龟纹认主
第八章 我和你拼了！
第九章 延年益寿丹
第十章 师兄别走
第十一章 侯小妹
第十二章 篱笆墙上
第十三章 你也来吧！
第十四章 三师兄？三师姐？
第十五章 不死长生功！
第十六章 心细入微
第十七章 小乌龟
第十八章 引领气氛！
第十九章 白鼠狼的传说
第二十章 一地鸡毛
第二十一章 小纯哥哥……
第二十二章 师姐放心！
第二十三章 偷鸡狂魔
第二十四章 你是谁
第二十五章 不死铁皮！
第二十六章 灵尾鸡好吃么？
第二十七章 这……这是竹子？
第二十八章 压力才是动力
第二十九章 举重若轻
第三十章 来吧！
第三十一章 耻辱啊！
第三十二章 运气逆天
第三十三章 打倒白小纯！
第三十四章 草木碾压
第三十五章 又见许宝财
第三十六章 小乌龟称霸！
第三十七章 举轻若重
第三十八章 紫气化鼎
第三十九章 碾压……
第四十章 追求极致
第四十一章 炼灵之效
第四十二章 晋升考核
第四十三章 很慢……很慢……
第四十四章 天都亮了
第四十五章 弄死你不难！
第四十六章 执法堂的任务！
第四十七章 小纯出宗门
第四十八章 这个世界
第四十九章 落陈家族
第五十章 诡异庭院
第五十一章 冯师兄是个好人啊
第五十二章 落陈叛变
第五十三章 勇气！
第五十四章 道义在心！
第五十五章 少主陈恒！
第五十六章 相依为命
第五十七章 我们都要活下去！
第五十八章 困兽犹斗！
第五十九章 你死我活！
第六十章 生死激战
第六十一章 绝命一击！
第六十二章 牛刀杀鸡！
第六十三章 碾压落陈！
第六十四章 精神与葬礼
第六十五章 守陵人
第六十六章 为宗门赴汤蹈火
第六十七章 师兄，咱师傅呢？
第六十八章 师侄们，别跑！
第六十九章 白小纯，少主让你去拜见
第七十章 嗨，李师兄
第七十一章 活着的荣耀苗子
第七十二章 师门有规
第七十三章 是谁干的！
第七十四章 原来是白小纯！
第七十五章 我冤枉啊！！
第七十六章 凝气八层！
第七十七章 拍卖会
第七十八章 他们是在说我么
第七十九章 小纯，我们信了
第八十章 张大胖的天赋
第八十一章 念灵古法
第八十二章 南岸天骄
第八十三章 请周长老出马
第八十四章 难以置信的爆发
第八十五章 他是……第一？
第八十六章 又来这套……
第八十七章 南北外门天骄战
第八十八章 强悍的北岸
第八十九章 你认输吧
第九十章 北岸公敌
第九十一章 疯狂的北岸
第九十二章 公孙婉儿的绝望
第九十三章 此丹对人也有用
第九十四章 白师叔，我们是自己人
第九十五章 剑，不是这么用的！
第九十六章 战鬼牙
第九十七章 我就是张大胖！
第九十八章 龙象化海经
第九十九章 找上门来
第一百章 还不向你白师叔认错
第一百零一章 水泽国度与元磁翅！
第一百零二章 有人在么？
第一百零三章 我要为宗门做贡献！
第104章 我保证……
第105章 动物大越狱！
第106章 疯狂的兔子！
第107章 天雷洗药大法
第108章 讲义气的张大胖
第109章 紫鼎山的小雨……
第110章 发配万蛇谷
第111章 触摸桎梏
第112章 金风玉露一相逢！
第113章 要出大事……
第114章 李青候懂了……
第115章 不！别传出去
第116章 鼻祖惊现！！
第117章 寒门药卷！
第118章 不受待见……
第119章 春天，我埋下了育兽种
第120章 挑战白小纯！
第121章 纸鹤飞满天……
第122章 此战，我接受！
第123章 战！
第124章 驭人大法
第125章 当年那只夜行兽……
第126章 厚积薄发
第127章 魂浮虚无
第128章 灵醒！
第129章 一根骨刺！
第130章 育兽花开
第131章 一切为了奉献
第132章 本源返祖之血
第133章 小不点，别试了
第134章 阴魂不散……
第135章 北岸大爆发！
第136章 都来过了
第137章 我的战兽！（第一更）
第138章 铁蛋的爱好……（第二更）
求月票
第139章 不是我干的呀（第三更）
第140章 筑基圣地（第四更）
第141章 陨剑深渊！（第一更）
第142章 各宗天骄！（第二更）
再次爆发了
第143章 一定是故意的（第三更）
第144章 白爷和你拼了（第四更）
第145章 必诛！（第一更）
第146章 强悍！（第二更）
第147章 怪丹出世！（第三更）
致我可爱的读者们！
第148章 哥哥，陪我玩吧
第149章 只看白师叔想不想了
第150章 哥哥有事……
第151章 白小纯，你和我斗？！
第152章 你无耻！你才无耻！
第153章 潮汐，开始！
第154章 大道争锋！
第155章 破第一桎梏！
第156章 要杀我？！
第157章 逆势而上！
第158章 灵溪宗，守护白小纯！
第159章 不死金皮！
